title,year,conf,field,pseudo_datasets,real_datasets,time_series,interv_setting,synthetic,pseudo_real,real,interventions,small,medium,big,synth_structural,synth_observational,synth_interventional,synth_qualitative,real_structural,real_observational,real_interventional,real_qualitative,included
Causal discovery with heterogeneous observational data,2022,UAI,,,,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1
Causal Discovery from Poisson Branching Structural Causal Model Using High-Order Cumulant with Path Analysis,2024,AAAI,sports,,,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
DynGFN: Towards Bayesian Inference of Gene Regulatory Networks with GFlowNets,2023,NeurIPS,,,,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1
Scalable and Flexible Causal Discovery with an Efficient Test for Adjacency,2024,ICML,bio,,Frangieh,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1
Discovering Agents (Abstract Reprint),2024,AAAI,,,,,,,,,,,,,,,,,,,,,0
Integer Programming for Causal Structure Learning in the Presence of Latent Variables,2021,ICML,,,,0,0,1,0,0,,,,,1,0,0,0,,,,,1
Robust contrastive learning and nonlinear ICA in the presence of outliers,2019,UAI,neuro,,fmri-hippo,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1
Characterization and Learning of Causal Graphs with Small Conditioning Sets,2023,NeurIPS,,,,,,,,,,,,,,,,,,,,,0
Gradient-Based Neural DAG Learning,2019,ICLR,bio,Syntren,Sachs,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1
Discovering Mixtures of Structural Causal Models from Time Series Data,2023,ICML,,"DREAM,Smith-fmri",,1,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1
Causal discovery in a complex industrial system: A time series benchmark,2023,CLeaR,,,,,,,,,,,,,,,,,,,,,0
A Hybrid Causal Structure Learning Algorithm for Mixed-Type Data,2022,AAAI,,bnlearn,,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1
